half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,233.5818465332058,244.48251987398234,0.9554132812996395,True
H1,i,u,i-u,1213.49006782567,259.4672510050058,4.676852524260407,True
H1,e,a,e-a,479.1783824620357,186.72130289946074,2.5662759150735317,True
H1,a,o,a-o,462.10605186389523,177.24027893667446,2.6072293196345027,True
H1,o,u,o-u,141.63286061801,217.94732964041043,0.6498490293580974,True
H2,i,e,i-e,198.11998020311307,230.34798042546885,0.8600899380023719,True
H2,i,u,i-u,1194.2054227058993,219.50092780473372,5.440548405190592,True
H2,e,a,e-a,532.908570671005,196.42987469342046,2.712971087024041,True
H2,a,o,a-o,406.9492978753321,179.71044252556774,2.2644721817845097,True
H2,o,u,o-u,212.4576822039324,196.32458590902007,1.0821756287945956,True
