F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
784.3709790099472,1478.6303923784594,2188.7782848735105,3.649550568005247,2.368847342748972,4.1391858749669606,4974.358974358975,5.3705887814e-05,60.54375,0.027,0.3214285714285714,0-0-3-4,o,f061152e-Audio_SP12.v0,group_0,1,fave,259.96751481735055,83.7095345731084,6,bueno,,0.0600000000000022,",",era,n,#,n,é,final,38.45737818827212,10.68506896097598,62.75171290730894,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,60.54375,2353.872,1176.936,time column: time,audio_duration,H1
463.6322061369415,1350.1361595170663,3999.353670190635,3.0797822705706333,2.076427411338279,3.2135518089648136,6589.74358974359,0.0069367222551451,63.060750000000006,0.061,0.3315217391304348,0-0-11-4,o,f061152e-Audio_SP12.v0,group_0,1,fave,473.2674536362514,70.45212771843683,6,cargo,,0.1599999999999966,de,y,g,#,g,i,final,21.75366546736254,7.97592326071081,24.86725328877641,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,63.060750000000006,2353.872,1176.936,time column: time,audio_duration,H1
827.3322188191489,1222.3398997936042,2608.050662404703,3.2587296817209754,3.728537213542264,4.406534799058846,5871.794871794871,0.0005522146849704,75.96575,0.031,0.3297872340425531,0-0-23-6,o,f061152e-Audio_SP12.v0,group_0,1,fave,292.3296599610416,79.90124612432086,6,trabajo,,0.0699999999999931,mi,profesional,x,#,x,p,final,26.016466948609114,41.61818509861728,81.98487664193765,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,75.96575,2353.872,1176.936,time column: time,audio_duration,H1
468.7464329704106,977.5041407500808,1585.5507100605244,2.130362395392061,3.158054462796992,3.2710574292657006,3897.4358974358975,0.0002134439139812,79.91375000000001,0.027,0.3214285714285714,0-0-35-1,o,f061152e-Audio_SP12.v0,group_0,1,fave,224.3111519214824,72.36313291002955,6,comunicaciones,,0.059999999999988,las,y,k,m,k,m,internal,8.417916873028156,23.52478303758401,26.33917643879313,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,79.91375000000001,2353.872,1176.936,time column: time,audio_duration,H1
555.2484327815512,836.7854941551288,1582.2136776939806,3.668827705090264,2.337956685776047,3.756078098616865,3897.4358974358975,0.0006166803717126,87.28774999999999,0.035,0.3365384615384615,0-0-55-2,o,f061152e-Audio_SP12.v0,group_0,1,fave,277.0450366418834,80.05714200398364,6,ocho,,0.0799999999999983,hace,años,h,#,h,á,final,39.20591801179404,10.360046091169728,42.78031635766998,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,87.28774999999999,2353.872,1176.936,time column: time,audio_duration,H1
748.175754885677,1816.2640793556432,2676.3827984081954,3.745115779614107,2.8227512899166927,3.273292672925887,5512.820512820513,6.77475005254e-05,91.71875,0.037,0.324561403508772,0-0-69-5,o,f061152e-Audio_SP12.v0,group_0,1,fave,314.3657675472698,80.37677400144123,6,gestión,,0.0900000000000034,de,[silence],i,n,i,n,internal,42.3139060229522,16.823072207493542,26.39811676439668,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,91.71875,2353.872,1176.936,time column: time,audio_duration,H1
610.7163958295619,1354.8240869373406,1638.9628581787365,2.9744982265856703,3.115423496613571,3.053485744674814,4256.410256410256,0.0006302314707699,95.10875,0.037,0.324561403508772,0-0-76-5,o,f061152e-Audio_SP12.v0,group_0,1,fave,305.55206422069614,79.76268501174634,6,gestión,,0.0900000000000034,de,más,i,n,i,n,internal,19.57979616314416,22.542975205905165,21.1890755512076,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,95.10875,2353.872,1176.936,time column: time,audio_duration,H1
713.9962618514594,1228.6234251628505,2510.98638278462,3.4569322902808604,3.3084886600161667,3.8271546261950062,5871.794871794871,0.0124855155542169,126.16275,0.065,0.3350515463917525,0-0-133-3,o,f061152e-Audio_SP12.v0,group_0,1,fave,335.2679513276715,76.50653299508649,6,Esto,,0.1700000000000017,.,",",t,#,t,.,final,31.719520825890168,27.34376849691232,45.931659382460765,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,126.16275,2353.872,1176.936,time column: time,audio_duration,H1
506.3910765433967,850.3148228174084,1418.210306610531,3.980740588963848,2.89516784249066,3.499597279003161,3897.4358974358975,0.0012673669188285,127.43575,0.031,0.3297872340425531,0-0-140-3,o,f061152e-Audio_SP12.v0,group_0,1,fave,281.2554716748304,72.95214035885506,6,como,,0.0699999999999931,bueno,estoy,m,#,m,s,final,53.55668303233935,18.08653687590984,33.10211835590985,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,127.43575,2353.872,1176.936,time column: time,audio_duration,H1
611.5678726454203,1504.8406325069932,2720.1541074836096,2.660242968984917,3.423151042633688,2.6216202486324733,6410.25641025641,1.03987313332e-05,129.04274999999998,0.025,0.3378378378378378,0-0-149-4,o,f061152e-Audio_SP12.v0,group_0,1,fave,303.0301743448598,81.93315707000959,6,petrolera,,0.0500000000000113,industria,",",R,l,R,l,internal,14.299763075545211,30.665892473523808,13.757996911723527,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,129.04274999999998,2353.872,1176.936,time column: time,audio_duration,H1
737.7154406378133,1178.819871777462,2599.864373618844,3.715391336552116,3.66159908725486,3.3198247875564406,6410.25641025641,0.0054901877811689,132.65075000000002,0.0809999999999999,0.3319672131147541,0-0-161-5,o,f061152e-Audio_SP12.v0,group_0,1,fave,198.2945813219591,71.78101924277303,6,gestión,,0.2199999999999988,de,con,i,n,i,n,internal,41.07465795465148,38.92353526170158,27.655504545458975,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,132.65075000000002,2353.872,1176.936,time column: time,audio_duration,H1
602.8434396124479,847.3023602466841,1592.704757952005,3.4534871709960595,3.110615100492412,3.144489791686297,4076.923076923077,0.000289993917305,136.47375000000002,0.027,0.3214285714285714,0-0-174-3,o,f061152e-Audio_SP12.v0,group_0,1,fave,279.38972951491064,75.38530476771462,6,conocimiento,,0.0600000000000022,más,[silence],n,z,n,z,internal,31.61043131407592,22.434839838552968,23.20783162348864,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,136.47375000000002,2353.872,1176.936,time column: time,audio_duration,H1
533.1300661124852,968.461074284336,1560.314892433786,3.002560460977627,1.8353414343372447,2.95019357423778,3897.4358974358975,0.0027136184947743,137.09875,0.057,0.3275862068965517,0-0-174-11,o,f061152e-Audio_SP12.v0,group_0,1,fave,486.02543053591046,67.38728707903223,6,conocimiento,,0.1500000000000056,más,[silence],t,#,t,.,final,20.137031052916264,6.267273642588522,19.109652506644206,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,137.09875,2353.872,1176.936,time column: time,audio_duration,H1
734.5779934354235,1443.3912337661172,2528.55229924842,3.4748829317170413,3.043064698673684,3.3301560261698606,5153.846153846154,4.57001428369e-05,143.11775,0.035,0.3365384615384616,0-0-197-3,o,f061152e-Audio_SP12.v0,group_0,1,fave,214.09097751970543,75.60776711078475,6,conocimiento,,0.0800000000000125,más,",",n,z,n,z,internal,32.29404770659256,20.96940978165042,27.942701155770216,f061152e-Audio_SP12.csv,f061152e-Audio_SP12,143.11775,2353.872,1176.936,time column: time,audio_duration,H1
