half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,316.6346551481051,256.80371149795405,1.232983173417366,True
H1,i,a,i-a,1448.3726115778747,193.0522370054457,7.502490693941135,False
H1,i,o,i-o,1276.9861187597057,196.01586663240295,6.514707919815967,False
H1,i,u,i-u,1380.0160668143958,200.14906873490344,6.894941233237618,True
H1,e,a,e-a,1147.7045618749507,225.17353564963477,5.09697801992484,True
H1,e,o,e-o,983.8401785733219,227.71950929993358,4.320403559615473,False
H1,e,u,e-u,1098.4194590502061,231.28684497739957,4.749165302322055,False
H1,a,o,a-o,187.00526160257462,152.24058226860828,1.2283535626041464,True
H1,a,u,a-u,204.94254927454128,157.5265838939003,1.3010029431767358,False
H1,o,u,o-u,149.6150871350376,161.14489874683343,0.9284506571324376,True
H2,i,e,i-e,257.45040007620094,221.91038516851674,1.1601548069987595,True
H2,i,a,i-a,1383.810620449007,190.82311067898138,7.2517978326900305,False
H2,i,o,i-o,1210.5194754263705,182.99085818774776,6.615190985029336,False
H2,i,u,i-u,1322.507724551862,201.02710801498174,6.578753172200542,True
H2,e,a,e-a,1146.3798736256983,207.38839337402024,5.527695426803507,True
H2,e,o,e-o,982.4561161534571,200.2052454790908,4.907244631889846,False
H2,e,u,e-u,1107.5913966843182,216.81416995649,5.1084825171094135,False
H2,a,o,a-o,196.27941083602946,165.07992258571701,1.1889962616993126,True
H2,a,u,a-u,234.81852106065747,184.87191462600546,1.2701687086202014,False
H2,o,u,o-u,165.66667727407597,176.77618456277042,0.937154954915606,True
