half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,417.0952739656491,198.01901675656265,2.1063394859616476,True
H1,i,a,i-a,841.3293156520865,195.45366528573177,4.304494952408058,False
H1,i,o,i-o,1189.4030472490929,203.15675991246454,5.854607288290966,False
H1,i,u,i-u,1415.1307877845254,203.30731111695263,6.960550410164397,True
H1,e,a,e-a,424.40951282275734,180.58792080733713,2.3501544894331268,True
H1,e,o,e-o,777.9772473110785,188.89820265428932,4.118499998302726,False
H1,e,u,e-u,1008.6670851829455,189.06010848800324,5.335166118594237,False
H1,a,o,a-o,380.5002142901877,186.20723735239721,2.043423336817414,True
H1,a,u,a-u,618.1109672553453,186.37148091348791,3.3165533923200794,False
H1,o,u,o-u,237.61100705766162,194.43472612265145,1.2220605433814025,True
H2,i,e,i-e,402.5721371302569,201.89984746834594,1.9939199666476846,True
H2,i,a,i-a,819.8398489745143,196.8850271160794,4.16405381853214,False
H2,i,o,i-o,1230.890657892475,196.69242037619355,6.257946572309578,False
H2,i,u,i-u,1366.760006055385,230.65772539224153,5.925489830141877,True
H2,e,a,e-a,417.89847361948944,180.4224860668892,2.316221679068091,True
H2,e,o,e-o,831.2747471867852,180.21228540114225,4.612752928228034,False
H2,e,u,e-u,972.1742459714402,216.77533498804752,4.48470877014234,False
H2,a,o,a-o,434.244804302305,174.57558049240654,2.4874315358280774,True
H2,a,u,a-u,589.3495419828744,212.1124969301389,2.7784762826915466,False
H2,o,u,o-u,162.18995902108063,211.93372946485914,0.7652862025814227,True
